"department_id","department_name","location","annual_budget","budget_utilization","manager_name"
"1","Information Technology","Building A Floor 3","2500000","75.5","Sarah Johnson"
"2","Sales","Building A Floor 1","1800000","85.2","Amanda Davis"
"3","Research & Development","Building D Floor 1","2200000","68.9","James Anderson"
"4","Marketing","Building A Floor 2","1500000","82.1","Jennifer Lopez"
"5","Finance","Building C Floor 1","1200000","71.3","Robert Williams"
"6","Operations","Building B Floor 2","1600000","78.8","David Miller"
"7","Human Resources","Building B Floor 1","800000","65.4","Michael Chen"
"8","Customer Service","Building C Floor 2","900000","88.7","Lisa Thompson"
"9","Legal","Building B Floor 3","700000","62.9","Maria Garcia"
"10","Quality Assurance","Building A Floor 4","650000","73.6","Kevin Brown"
